  =  0.18269
фч =  0.00002
фы =  0.00001
фь =  0.00002
х  =  0.00239
ха =  0.00041
хв =  0.00027
хе =  0.00005
хж =  0.00000
хи =  0.00015
хк =  0.00001
хл =  0.00019
хм =  0.00013
хн =  0.00030
хо =  0.00243
хр =  0.00010
хс =  0.00003
хт =  0.00004
ху =  0.00013
хх =  0.00000
хш =  0.00001
хъ =  0.00001
хэ =  0.00000
ц  =  0.00043
ца =  0.00053
цв =  0.00010
це =  0.00062
ци =  0.00019
цк =  0.00001
цо =  0.00024
цп =  0.00000
цт =  0.00001
цу =  0.00016
цы =  0.00017
ч  =  0.00013
ча =  0.00160
чб =  0.00000
че =  0.00248
чи =  0.00146
чк =  0.00043
чл =  0.00003
чм =  0.00003
чн =  0.00074
чо =  0.00011
чр =  0.00007
чт =  0.00295
чу =  0.00064
чш =  0.00020
чь =  0.00024
ш  =  0.00020
ша =  0.00155
шв =  0.00000
ше =  0.00154
ши =  0.00141
шк =  0.00077
шл =  0.00052
шм =  0.00033
шн =  0.00038
шо =  0.00031
шп =  0.00002
шр =  0.00001
шт =  0.00006
шу =  0.00031
шц =  0.00002
шь =  0.00126
щ  =  0.00028
ща =  0.00050
ще =  0.00137
щи =  0.00072
щк =  0.00002
щл =  0.00001
щн =  0.00008
що =  0.00001
щу =  0.00017
щч =  0.00000
щщ =  0.00001
щь =  0.00004
ъе =  0.00007
ъж =  0.00000
ъм =  0.00000
ъя =  0.00008
ы  =  0.00486
ыб =  0.00027
ыв =  0.00087
ыг =  0.00014
ыд =  0.00010
ые =  0.00081
ыж =  0.00004
ыз =  0.00009
ыи =  0.00001
ый =  0.00112
ык =  0.00019
ыл =  0.00157
ым =  0.00080
ын =  0.00017
ып =  0.00017
ыр =  0.00023
ыс =  0.00067
ыт =  0.00061
ыу =  0.00002
ыф =  0.00000
ых =  0.00066
ыч =  0.00014
ыш =  0.00088
ыщ =  0.00002
ыя =  0.00001
ь  =  0.01073
ьб =  0.00007
ьв =  0.00004
ьг =  0.00001
ьд =  0.00004
ье =  0.00032
ьж =  0.00000
ьз =  0.00015
ьи =  0.00011
ьй =  0.00002
ьк =  0.00125
ьм =  0.00015
ьн =  0.00105
ьп =  0.00000
ьс =  0.00096
ьт =  0.00016
ьу =  0.00000
ьф =  0.00001
ьц =  0.00009
ьч =  0.00007
ьш =  0.00053
ью =  0.00036
ья =  0.00038
э  =  0.00000
эй =  0.00002
эк =  0.00005
эл =  0.00000
эм =  0.00005
эн =  0.00009
эп =  0.00000
эр =  0.00000
эс =  0.00000
эт =  0.00168
эх =  0.00002
ээ =  0.00001
